"","x"
"1","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000100002&lng=pt&nrm=iso&tlng=en"
"2","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000100022&lng=pt&nrm=iso&tlng=en"
"3","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000100031&lng=pt&nrm=iso&tlng=en"
"4","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000100040&lng=pt&nrm=iso&tlng=en"
"5","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000100050&lng=pt&nrm=iso&tlng=en"
"6","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000100061&lng=pt&nrm=iso&tlng=en"
"7","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000100069&lng=pt&nrm=iso&tlng=en"
"8","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000100080&lng=pt&nrm=iso&tlng=en"
"9","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000100084&lng=pt&nrm=iso&tlng=en"
"10","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000100093&lng=pt&nrm=iso&tlng=en"
"11","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000100104&lng=pt&nrm=iso&tlng=en"
"12","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000100109&lng=pt&nrm=iso&tlng=en"
"13","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000100123&lng=pt&nrm=iso&tlng=en"
"14","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000100134&lng=pt&nrm=iso&tlng=en"
"15","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000100142&lng=pt&nrm=iso&tlng=en"
"16","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000100147&lng=pt&nrm=iso&tlng=en"
"17","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000100153&lng=pt&nrm=iso&tlng=en"
"18","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000100160&lng=pt&nrm=iso&tlng=en"
"19","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000100168&lng=pt&nrm=iso&tlng=en"
"20","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000100181&lng=pt&nrm=iso&tlng=en"
"21","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000100001&lng=pt&nrm=iso&tlng=en"
"22","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000100009&lng=pt&nrm=iso&tlng=en"
"23","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000100018&lng=pt&nrm=iso&tlng=en"
"24","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000100027&lng=pt&nrm=iso&tlng=en"
"25","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000100035&lng=pt&nrm=iso&tlng=en"
"26","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000100041&lng=pt&nrm=iso&tlng=en"
"27","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000100050&lng=pt&nrm=iso&tlng=en"
"28","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000100059&lng=pt&nrm=iso&tlng=en"
"29","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000100067&lng=pt&nrm=iso&tlng=en"
"30","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000100082&lng=pt&nrm=iso&tlng=en"
"31","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000100085&lng=pt&nrm=iso&tlng=en"
"32","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000100092&lng=pt&nrm=iso&tlng=en"
"33","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000100098&lng=pt&nrm=iso&tlng=en"
"34","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000100107&lng=pt&nrm=iso&tlng=en"
"35","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000100119&lng=pt&nrm=iso&tlng=en"
"36","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000100125&lng=pt&nrm=iso&tlng=en"
"37","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000100137&lng=pt&nrm=iso&tlng=en"
"38","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000100145&lng=pt&nrm=iso&tlng=en"
"39","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000100154&lng=pt&nrm=iso&tlng=en"
"40","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000100167&lng=pt&nrm=iso&tlng=en"
"41","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000200191&lng=pt&nrm=iso&tlng=en"
"42","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000200200&lng=pt&nrm=iso&tlng=en"
"43","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000200209&lng=pt&nrm=iso&tlng=en"
"44","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000200217&lng=pt&nrm=iso&tlng=en"
"45","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000200226&lng=pt&nrm=iso&tlng=en"
"46","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000200238&lng=pt&nrm=iso&tlng=en"
"47","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000200253&lng=pt&nrm=iso&tlng=en"
"48","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000200261&lng=pt&nrm=iso&tlng=en"
"49","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000200276&lng=pt&nrm=iso&tlng=en"
"50","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000200292&lng=pt&nrm=iso&tlng=en"
"51","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000200305&lng=pt&nrm=iso&tlng=en"
"52","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000200312&lng=pt&nrm=iso&tlng=en"
"53","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000200326&lng=pt&nrm=iso&tlng=en"
"54","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000200346&lng=pt&nrm=iso&tlng=en"
"55","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000200360&lng=pt&nrm=iso&tlng=en"
"56","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000200373&lng=pt&nrm=iso&tlng=en"
