"","DOI_data","title","author.list","authorAffiliation","correspondingAuthor","abstract","keywords.list","fullText"
"1","Genet. Mol. Biol. vol.40 no.1 Ribeirão Preto jan./mar. 2017
			 Epub 16-Fev-2017","Papillomaviruses: a systematic review","Papillomaviruses: a systematic review","Special Series of Articles - 60 Years of The Brazilian Society of Genetics,1Laboratório de Genética, Instituto Butantan, São Paulo, SP, Brazil,2Programa de Pós-graduação Interunidades em Biotecnologia, Instituto de Ciências Biomédicas (ICB), Universidade de São Paulo (USP), São Paulo, SP, Brazil,3Programa de Aprimoramento Profissional (PAP), Instituto Butantan, São Paulo, SP, Brazil,4Dipartimento di Medicina Veterinaria e Produzioni Animali, Università degli Studi di Napoli Federico II, Napoli, Campania, Italy,,","Received:
				May 09, 2016; Accepted:
				September 28, 2016","In the last decades, a group of viruses has received great attention due to its relationship with cancer development and its wide distribution throughout the vertebrates: the papillomaviruses. In this article, we aim to review some of the most relevant reports concerning the use of bovines as an experimental model for studies related to papillomaviruses. Moreover, the obtained data contributes to the development of strategies against the clinical consequences of bovine papillomaviruses (BPV) that have led to drastic hazards to the herds. To overcome the problem, the vaccines that we have been developing involve recombinant DNA technology, aiming at prophylactic and therapeutic procedures. It is important to point out that these strategies can be used as models for innovative procedures against HPV, as this virus is the main causal agent of cervical cancer, the second most fatal cancer in women.","Rodrigo Franco de Carvalho1 
			,Keywords: bovine papillomavirus (BPV); bovine papillomatosis; carcinogenesis; natural history","http://www.scielo.brhttp://www.scielo.br/scieloOrg/php/articleXML.php?pid=S1415-47572017000100002&lang=pt"
"2","Genet. Mol. Biol. vol.40 no.1 Ribeirão Preto jan./mar. 2017
			 Epub 16-Fev-2017","Papillomaviruses: a systematic review","Papillomaviruses: a systematic review","Special Series of Articles - 60 Years of The Brazilian Society of Genetics,1Laboratório de Genética, Instituto Butantan, São Paulo, SP, Brazil,2Programa de Pós-graduação Interunidades em Biotecnologia, Instituto de Ciências Biomédicas (ICB), Universidade de São Paulo (USP), São Paulo, SP, Brazil,3Programa de Aprimoramento Profissional (PAP), Instituto Butantan, São Paulo, SP, Brazil,4Dipartimento di Medicina Veterinaria e Produzioni Animali, Università degli Studi di Napoli Federico II, Napoli, Campania, Italy,,","Send correspondence to Willy Beçak. Laboratório de Genética, Instituto Butantan, Avenida Vital Brasil 1500, 00553900 São Paulo, SP, Brazil. E-mail: wbecak@yahoo.com.br
				","In the last decades, a group of viruses has received great attention due to its relationship with cancer development and its wide distribution throughout the vertebrates: the papillomaviruses. In this article, we aim to review some of the most relevant reports concerning the use of bovines as an experimental model for studies related to papillomaviruses. Moreover, the obtained data contributes to the development of strategies against the clinical consequences of bovine papillomaviruses (BPV) that have led to drastic hazards to the herds. To overcome the problem, the vaccines that we have been developing involve recombinant DNA technology, aiming at prophylactic and therapeutic procedures. It is important to point out that these strategies can be used as models for innovative procedures against HPV, as this virus is the main causal agent of cervical cancer, the second most fatal cancer in women.","Rodrigo Franco de Carvalho1 
			,Keywords: bovine papillomavirus (BPV); bovine papillomatosis; carcinogenesis; natural history","http://www.scielo.brhttp://www.scielo.br/scieloOrg/php/articleXML.php?pid=S1415-47572017000100002&lang=pt"
"3","Genet. Mol. Biol. vol.40 no.1 Ribeirão Preto jan./mar. 2017","RNA-binding proteins and their role in the regulation of gene expression in Trypanosoma cruzi and Saccharomyces cerevisiae","RNA-binding proteins and their role in the regulation of gene expression in Trypanosoma cruzi and Saccharomyces cerevisiae","Special Series of Articles - 60 Years of The Brazilian Society of Genetics,1Instituto Carlos Chagas, Fiocruz-Paraná, Curitiba, PR, Brazil.,,","Received:
				September 28, 2016; Accepted:
				January 10, 2017","RNA-binding proteins (RBPs) have important functions in the regulation of gene expression. RBPs play key roles in post-transcriptional processes in all eukaryotes, such as splicing regulation, mRNA transport and modulation of mRNA translation and decay. RBPs assemble into different mRNA-protein complexes, which form messenger ribonucleoprotein complexes (mRNPs). Gene expression regulation in trypanosomatids occurs mainly at the post-transcriptional level and RBPs play a key role in all processes. However, the functional characterization of RBPs in Trypanosoma cruzi has been impaired due to the lack of reliable reverse genetic manipulation tools. The comparison of RBPs from Saccharomyces cerevisiae and T. cruzi might allow inferring on the function of these proteins based on the information available for the orthologous RNA-binding proteins from the S. cerevisiae model organism. In this review, we discuss the role of some RBPs from T. cruzi and their homologues in regulating gene expression in yeast.","Lysangela Ronalte Alves1 
			,Keywords: RNA-binding proteins; Trypanosoma cruzi; Saccharomyces cerevisiae; gene expression regulation","http://www.scielo.brhttp://www.scielo.br/scieloOrg/php/articleXML.php?pid=S1415-47572017000100022&lang=pt"
"4","Genet. Mol. Biol. vol.40 no.1 Ribeirão Preto jan./mar. 2017","RNA-binding proteins and their role in the regulation of gene expression in Trypanosoma cruzi and Saccharomyces cerevisiae","RNA-binding proteins and their role in the regulation of gene expression in Trypanosoma cruzi and Saccharomyces cerevisiae","Special Series of Articles - 60 Years of The Brazilian Society of Genetics,1Instituto Carlos Chagas, Fiocruz-Paraná, Curitiba, PR, Brazil.,,","Send correspondence to Lysangela Ronalte Alves or Samuel Goldenberg. Instituto Carlos Chagas, Fiocruz-Paraná, Rua Professor Algacyr Munhoz Mader 3775, Cidade Industrial de Curitiba, 81350-010 Curitiba, PR, Brazil. E-mail: lysalves@fiocruz.br; sgoldenb@fiocruz.br.","RNA-binding proteins (RBPs) have important functions in the regulation of gene expression. RBPs play key roles in post-transcriptional processes in all eukaryotes, such as splicing regulation, mRNA transport and modulation of mRNA translation and decay. RBPs assemble into different mRNA-protein complexes, which form messenger ribonucleoprotein complexes (mRNPs). Gene expression regulation in trypanosomatids occurs mainly at the post-transcriptional level and RBPs play a key role in all processes. However, the functional characterization of RBPs in Trypanosoma cruzi has been impaired due to the lack of reliable reverse genetic manipulation tools. The comparison of RBPs from Saccharomyces cerevisiae and T. cruzi might allow inferring on the function of these proteins based on the information available for the orthologous RNA-binding proteins from the S. cerevisiae model organism. In this review, we discuss the role of some RBPs from T. cruzi and their homologues in regulating gene expression in yeast.","Lysangela Ronalte Alves1 
			,Keywords: RNA-binding proteins; Trypanosoma cruzi; Saccharomyces cerevisiae; gene expression regulation","http://www.scielo.brhttp://www.scielo.br/scieloOrg/php/articleXML.php?pid=S1415-47572017000100022&lang=pt"
"5","Genet. Mol. Biol. vol.40 no.1 Ribeirão Preto jan./mar. 2017
			 Epub 16-Mar-2017","Relative frequency and estimated minimal frequency of Lysosomal Storage Diseases in Brazil: Report from a Reference Laboratory","Relative frequency and estimated minimal frequency of Lysosomal Storage Diseases in Brazil: Report from a Reference Laboratory","Special Series of Articles - 60 Years of The Brazilian Society of Genetics,1Medical Genetics Service, Hospital das Clínicas de Porto Alegre (HCPA), Porto Alegre, RS, Brazil.,2Department of Genetics, Universidade Federal de Rio Grande do Sul (UFRGS), Porto Alegre, RS, Brazil.,3Post-Graduate Program in Genetics and Molecular Biology, Universidade Federal de Rio Grande do Sul (UFRGS), Porto Alegre, RS, Brazil.,4Post-Graduate Program in Child and Adolescent Health, Universidade Federal de Rio Grande do Sul (UFRGS), Porto Alegre, RS, Brazil.,5Clinical Research Group on Medical Genetics, Hospital das Clínicas de Porto Alegre (HCPA), Porto Alegre, RS, Brazil.,,","Received:
				October 15, 2016; Accepted:
				November 10, 2016","Lysosomal storage diseases (LSDs) comprise a heterogeneous group of more than 50 genetic conditions of inborn errors of metabolism (IEM) caused by a defect in lysosomal function. Although there are screening tests for some of these conditions, diagnosis usually depends on specific enzyme assays, which are only available in a few laboratories around the world. A pioneer facility for the diagnosis of IEM and LSDs was established in the South of Brazil in 1982 and has served as a reference service since then. Over the past 34 years, samples from 72,797 patients were referred for investigation of IEM, and 3,211 were confirmed as having an LSD (4.41%, or 1 in 22), with 3,099 of these patients originating from Brazil. The rate of diagnosis has increased over time, in part due to the creation of diagnostic networks involving a large number of Brazilian services. These cases, referred from Brazilian regions, provide insight about the relative frequency of LSDs in the country. The large amount of data available allows for the estimation of the minimal frequency of specific LSDs in Brazil. The reported data could help to plan health care policies, as there are specific therapies available for most of the cases diagnosed.","Kristiane Michelin-Tirelli1 
			,Keywords: Lysosomal storage diseases; epidemiology; reference center; biochemical genetics; Brazil","http://www.scielo.brhttp://www.scielo.br/scieloOrg/php/articleXML.php?pid=S1415-47572017000100031&lang=pt"
"6","Genet. Mol. Biol. vol.40 no.1 Ribeirão Preto jan./mar. 2017
			 Epub 16-Mar-2017","Relative frequency and estimated minimal frequency of Lysosomal Storage Diseases in Brazil: Report from a Reference Laboratory","Relative frequency and estimated minimal frequency of Lysosomal Storage Diseases in Brazil: Report from a Reference Laboratory","Special Series of Articles - 60 Years of The Brazilian Society of Genetics,1Medical Genetics Service, Hospital das Clínicas de Porto Alegre (HCPA), Porto Alegre, RS, Brazil.,2Department of Genetics, Universidade Federal de Rio Grande do Sul (UFRGS), Porto Alegre, RS, Brazil.,3Post-Graduate Program in Genetics and Molecular Biology, Universidade Federal de Rio Grande do Sul (UFRGS), Porto Alegre, RS, Brazil.,4Post-Graduate Program in Child and Adolescent Health, Universidade Federal de Rio Grande do Sul (UFRGS), Porto Alegre, RS, Brazil.,5Clinical Research Group on Medical Genetics, Hospital das Clínicas de Porto Alegre (HCPA), Porto Alegre, RS, Brazil.,,","Send correspondence to Andressa Federhen. Medical Genetics Service, Hospital de Clinicas de Porto Alegre, Rua Ramiro Barcelos 2350, 90035-903 Porto Alegre, RS, Brazil. E-mail: afederhen@hcpa.edu.br
				","Lysosomal storage diseases (LSDs) comprise a heterogeneous group of more than 50 genetic conditions of inborn errors of metabolism (IEM) caused by a defect in lysosomal function. Although there are screening tests for some of these conditions, diagnosis usually depends on specific enzyme assays, which are only available in a few laboratories around the world. A pioneer facility for the diagnosis of IEM and LSDs was established in the South of Brazil in 1982 and has served as a reference service since then. Over the past 34 years, samples from 72,797 patients were referred for investigation of IEM, and 3,211 were confirmed as having an LSD (4.41%, or 1 in 22), with 3,099 of these patients originating from Brazil. The rate of diagnosis has increased over time, in part due to the creation of diagnostic networks involving a large number of Brazilian services. These cases, referred from Brazilian regions, provide insight about the relative frequency of LSDs in the country. The large amount of data available allows for the estimation of the minimal frequency of specific LSDs in Brazil. The reported data could help to plan health care policies, as there are specific therapies available for most of the cases diagnosed.","Kristiane Michelin-Tirelli1 
			,Keywords: Lysosomal storage diseases; epidemiology; reference center; biochemical genetics; Brazil","http://www.scielo.brhttp://www.scielo.br/scieloOrg/php/articleXML.php?pid=S1415-47572017000100031&lang=pt"
"7","Genet. Mol. Biol. vol.40 no.1 Ribeirão Preto jan./mar. 2017
			 Epub 13-Fev-2017","Phylogeographic history of South American populations of the silky anteater Cyclopes didactylus (Pilosa: Cyclopedidae)","Phylogeographic history of South American populations of the silky anteater Cyclopes didactylus (Pilosa: Cyclopedidae)","Special Series of Articles - 60 Years of The Brazilian Society of Genetics,1Laboratório de Biodiversidade e Evolução Molecular, Departamento de Biologia Geral, Instituto de Ciências Biológicas, Universidade Federal de Minas Gerais, Belo Horizonte, MG, Brazil.,,","Received:
				February 22, 2016; Accepted:
				October 03, 2016","Cyclopes didactylus, commonly called silky anteater, is the smallest and least studied of the anteaters. It is an arboreal species occurring in rainforests, ranging from southern Mexico to Central and South America, with an apparently disjoint distribution between Amazon and Atlantic rainforests in Brazil. Although seven subspecies are recognized, little is known about its geographical variation. Thus, to evaluate the population dynamics and evolutionary history of the South American silky anteater, we analyzed 1542 bp sequences of the mitochondrial control region (CR), COI and Cyt-b genes of 32 individuals. Haplotype network, AMOVA and molecular dating analyses were performed and identified seven geographic clusters. The split of lineages separating Cyclopedidae (Cyclopes) and Myrmecophagidae (Myrmecophaga and Tamandua genera) was estimated around 41 million years ago (mya), and the intraspecific lineage diversification of C. didactylus began in the Miocene around 13.5 mya, likely in southwestern Amazonia. Tectonic and climatic events that took place in South America during the Tertiary and Quaternary seem to have influenced the evolutionary history of the species at different levels. This is the first study to investigate the population dynamics and phylogeography of the silky anteater, which contributes to a better comprehension of the biogeography of South America.","Camila Clozato Lara1 
			,Keywords: Xenarthra; mitochondrial DNA; population structure; molecular dating; South America","http://www.scielo.brhttp://www.scielo.br/scieloOrg/php/articleXML.php?pid=S1415-47572017000100040&lang=pt"
"8","Genet. Mol. Biol. vol.40 no.1 Ribeirão Preto jan./mar. 2017
			 Epub 13-Fev-2017","Phylogeographic history of South American populations of the silky anteater Cyclopes didactylus (Pilosa: Cyclopedidae)","Phylogeographic history of South American populations of the silky anteater Cyclopes didactylus (Pilosa: Cyclopedidae)","Special Series of Articles - 60 Years of The Brazilian Society of Genetics,1Laboratório de Biodiversidade e Evolução Molecular, Departamento de Biologia Geral, Instituto de Ciências Biológicas, Universidade Federal de Minas Gerais, Belo Horizonte, MG, Brazil.,,","Send correspondence to Fabrício R. Santos. Laboratório de Biodiversidade e Evolução Molecular, Departamento de Biologia Geral, Instituto de Ciências Biológicas, Universidade Federal de Minas Gerais, Av. Antônio Carlos, 6627 P.O.box 486, 31270-010 Belo Horizonte, Minas Gerais, Brazil. E-mail: fsantos@icb.ufmg.br.","Cyclopes didactylus, commonly called silky anteater, is the smallest and least studied of the anteaters. It is an arboreal species occurring in rainforests, ranging from southern Mexico to Central and South America, with an apparently disjoint distribution between Amazon and Atlantic rainforests in Brazil. Although seven subspecies are recognized, little is known about its geographical variation. Thus, to evaluate the population dynamics and evolutionary history of the South American silky anteater, we analyzed 1542 bp sequences of the mitochondrial control region (CR), COI and Cyt-b genes of 32 individuals. Haplotype network, AMOVA and molecular dating analyses were performed and identified seven geographic clusters. The split of lineages separating Cyclopedidae (Cyclopes) and Myrmecophagidae (Myrmecophaga and Tamandua genera) was estimated around 41 million years ago (mya), and the intraspecific lineage diversification of C. didactylus began in the Miocene around 13.5 mya, likely in southwestern Amazonia. Tectonic and climatic events that took place in South America during the Tertiary and Quaternary seem to have influenced the evolutionary history of the species at different levels. This is the first study to investigate the population dynamics and phylogeography of the silky anteater, which contributes to a better comprehension of the biogeography of South America.","Camila Clozato Lara1 
			,Keywords: Xenarthra; mitochondrial DNA; population structure; molecular dating; South America","http://www.scielo.brhttp://www.scielo.br/scieloOrg/php/articleXML.php?pid=S1415-47572017000100040&lang=pt"
"9","Genet. Mol. Biol. vol.40 no.1 Ribeirão Preto jan./mar. 2017
			 Epub 13-Fev-2017","Population structure and genetic diversity of the giant anteater (Myrmecophaga tridactyla: Myrmecophagidae, Pilosa) in Brazil","Population structure and genetic diversity of the giant anteater (Myrmecophaga tridactyla: Myrmecophagidae, Pilosa) in Brazil","Special Series of Articles - 60 Years of The Brazilian Society of Genetics,1Laboratório de Biodiversidade e Evolução Molecular, Departamento de Biologia Geral, Universidade Federal de Minas Gerais (UFMG), Belo Horizonte, MG, Brazil.,2Projeto Tamanduá, São Paulo, SP, Brazil.,3Laboratorio de Genética e Biodiversidade, Instituto de Ciências Biológicas, Universidade Federal de Goiás (UFG), Goiânia, GO, Brazil.,,","Received:
				April 13, 2016; Accepted:
				September 30, 2016","The giant anteater (Myrmecophaga tridactyla, Pilosa, Linnaeus 1758) belongs to the mammalian order Pilosa and presents a large distribution along South America, occupying a great variety of habitats. It is listed in the IUCN Red List of threatened species as Vulnerable. Despite threatened, there is a lack of studies regarding its genetic variability. The aim of this study was to examine the genetic diversity and patterns of genetic structure within remaining populations. We analyzed 77 individuals from seven different populations distributed in four biomes across Brazil: Cerrado, Pantanal, Atlantic Forest and Amazon Forest. We sequenced two mitochondrial markers (control region and Cyt-b) and two nuclear markers (AMELY and RAG2). We found high genetic diversity within subpopulations from National Parks of Serra da Canastra and Emas, both within the Cerrado biome, with signs of population expansion. Besides, we found a notable population structure between populations from the Cerrado/Pantanal and Amazon Forest biomes. This data is a major contribution to the knowledge of the evolutionary history of the species and to future management actions concerning its conservation.","Paula Lara-Ruiz1 
			,Keywords: Giant Anteater; Xenarthra; Cerrado; genetic diversity; population structure","http://www.scielo.brhttp://www.scielo.br/scieloOrg/php/articleXML.php?pid=S1415-47572017000100050&lang=pt"
"10","Genet. Mol. Biol. vol.40 no.1 Ribeirão Preto jan./mar. 2017
			 Epub 13-Fev-2017","Population structure and genetic diversity of the giant anteater (Myrmecophaga tridactyla: Myrmecophagidae, Pilosa) in Brazil","Population structure and genetic diversity of the giant anteater (Myrmecophaga tridactyla: Myrmecophagidae, Pilosa) in Brazil","Special Series of Articles - 60 Years of The Brazilian Society of Genetics,1Laboratório de Biodiversidade e Evolução Molecular, Departamento de Biologia Geral, Universidade Federal de Minas Gerais (UFMG), Belo Horizonte, MG, Brazil.,2Projeto Tamanduá, São Paulo, SP, Brazil.,3Laboratorio de Genética e Biodiversidade, Instituto de Ciências Biológicas, Universidade Federal de Goiás (UFG), Goiânia, GO, Brazil.,,","Send correspondence to Fabrício R. Santos. Laboratório de Biodiversidade e Evolução Molecular, Instituto de Ciências Biológicas, Universidade Federal de Minas Gerais, Av. Antônio Carlos 6627, Sala L3-244, 31270-010 Belo Horizonte, MG, Brazil. E-mail: fsantos@icb.ufmg.br
				","The giant anteater (Myrmecophaga tridactyla, Pilosa, Linnaeus 1758) belongs to the mammalian order Pilosa and presents a large distribution along South America, occupying a great variety of habitats. It is listed in the IUCN Red List of threatened species as Vulnerable. Despite threatened, there is a lack of studies regarding its genetic variability. The aim of this study was to examine the genetic diversity and patterns of genetic structure within remaining populations. We analyzed 77 individuals from seven different populations distributed in four biomes across Brazil: Cerrado, Pantanal, Atlantic Forest and Amazon Forest. We sequenced two mitochondrial markers (control region and Cyt-b) and two nuclear markers (AMELY and RAG2). We found high genetic diversity within subpopulations from National Parks of Serra da Canastra and Emas, both within the Cerrado biome, with signs of population expansion. Besides, we found a notable population structure between populations from the Cerrado/Pantanal and Amazon Forest biomes. This data is a major contribution to the knowledge of the evolutionary history of the species and to future management actions concerning its conservation.","Paula Lara-Ruiz1 
			,Keywords: Giant Anteater; Xenarthra; Cerrado; genetic diversity; population structure","http://www.scielo.brhttp://www.scielo.br/scieloOrg/php/articleXML.php?pid=S1415-47572017000100050&lang=pt"
"11","Genet. Mol. Biol. vol.40 no.1 Ribeirão Preto jan./mar. 2017
			 Epub 02-Mar-2017","Epigenetic modifications and their relation to caste and sex determination and adult division of labor in the stingless bee Melipona scutellaris","Epigenetic modifications and their relation to caste and sex determination and adult division of labor in the stingless bee Melipona scutellaris","Special Series of Articles - 60 Years of The Brazilian Society of Genetics,1Departamento de Genética e Bioquímica, Universidade Federal de Uberlândia, Uberlândia, MG, Brazil.,2Departamento de Biologia Celular e Molecular e Bioagentes Patogênicos, Faculdade de Medicina de Ribeirão Preto, Universidade de São Paulo, Ribeirão Preto, SP, Brazil.,3Departmento de Genética e Evolução, Universidade Federal de São Carlos, São Carlos, SP, Brazil.,,","Received:
				August 31, 2016; Accepted:
				January 12, 2017","Stingless bees of the genus Melipona, have long been considered an enigmatic case among social insects for their mode of caste determination, where in addition to larval food type and quantity, the genotype also has a saying, as proposed over 50 years ago by Warwick E. Kerr. Several attempts have since tried to test his Mendelian two-loci/two-alleles segregation hypothesis, but only recently a single gene crucial for sex determination in bees was evidenced to be sex-specifically spliced and also caste-specifically expressed in a Melipona species. Since alternative splicing is frequently associated with epigenetic marks, and the epigenetic status plays a major role in setting the caste phenotype in the honey bee, we investigated here epigenetic chromatin modification in the stingless bee Melipona scutellaris. We used an ELISA-based methodology to quantify global methylation status and western blot assays to reveal histone modifications. The results evidenced DNA methylation/demethylation events in larvae and pupae, and significant differences in histone methylation and phosphorylation between newly emerged adult queens and workers. The epigenetic dynamics seen in this stingless bee species represent a new facet in the caste determination process in Melipona bees and suggest a possible mechanism that is likely to link a genotype component to the larval diet and adult social behavior of these bees.","Célio Dias Santos-Júnior3 
			,Keywords: DNA methylation; histone modification; caste development; social bees; genetic caste determination","http://www.scielo.brhttp://www.scielo.br/scieloOrg/php/articleXML.php?pid=S1415-47572017000100061&lang=pt"
"12","Genet. Mol. Biol. vol.40 no.1 Ribeirão Preto jan./mar. 2017
			 Epub 02-Mar-2017","Epigenetic modifications and their relation to caste and sex determination and adult division of labor in the stingless bee Melipona scutellaris","Epigenetic modifications and their relation to caste and sex determination and adult division of labor in the stingless bee Melipona scutellaris","Special Series of Articles - 60 Years of The Brazilian Society of Genetics,1Departamento de Genética e Bioquímica, Universidade Federal de Uberlândia, Uberlândia, MG, Brazil.,2Departamento de Biologia Celular e Molecular e Bioagentes Patogênicos, Faculdade de Medicina de Ribeirão Preto, Universidade de São Paulo, Ribeirão Preto, SP, Brazil.,3Departmento de Genética e Evolução, Universidade Federal de São Carlos, São Carlos, SP, Brazil.,,","Send correspondence to Klaus Hartfelder. Departamento de Biologia Celular e Molecular e Bioagentes Patogênicos, Faculdade de Medicina de Ribeirão Preto, Universidade de São Paulo, Av. Bandeirantes 3900, 14049-900 Ribeirão Preto, SP, Brazil. E-mail: klaus@fmrp.usp.br
				","Stingless bees of the genus Melipona, have long been considered an enigmatic case among social insects for their mode of caste determination, where in addition to larval food type and quantity, the genotype also has a saying, as proposed over 50 years ago by Warwick E. Kerr. Several attempts have since tried to test his Mendelian two-loci/two-alleles segregation hypothesis, but only recently a single gene crucial for sex determination in bees was evidenced to be sex-specifically spliced and also caste-specifically expressed in a Melipona species. Since alternative splicing is frequently associated with epigenetic marks, and the epigenetic status plays a major role in setting the caste phenotype in the honey bee, we investigated here epigenetic chromatin modification in the stingless bee Melipona scutellaris. We used an ELISA-based methodology to quantify global methylation status and western blot assays to reveal histone modifications. The results evidenced DNA methylation/demethylation events in larvae and pupae, and significant differences in histone methylation and phosphorylation between newly emerged adult queens and workers. The epigenetic dynamics seen in this stingless bee species represent a new facet in the caste determination process in Melipona bees and suggest a possible mechanism that is likely to link a genotype component to the larval diet and adult social behavior of these bees.","Célio Dias Santos-Júnior3 
			,Keywords: DNA methylation; histone modification; caste development; social bees; genetic caste determination","http://www.scielo.brhttp://www.scielo.br/scieloOrg/php/articleXML.php?pid=S1415-47572017000100061&lang=pt"
"13","Genet. Mol. Biol. vol.40 no.1 Ribeirão Preto jan./mar. 2017
			 Epub 20-Fev-2017","TSC1 and TSC2 gene mutations and their implications for treatment in Tuberous Sclerosis Complex: a review","TSC1 and TSC2 gene mutations and their implications for treatment in Tuberous Sclerosis Complex: a review","Human and Medical Genetics,1Laboratório de Medicina Genômica, Centro de Pesquisa Experimental. Hospital de Clínicas de Porto Alegre (HCPA), Porto Alegre, RS, Brazil,2Programa de Pós-Graduação em Genética e Biologia Molecular, Universidade Federal do Rio Grande do Sul (UFRGS), Porto Alegre, RS, Brazil,3Serviço de Genética Médica, Hospital de Clínicas de Porto Alegre (HCPA), Porto Alegre, RS, Brazil,4Departamento de Genética, Universidade Federal do Rio Grande do Sul (UFRGS), Porto Alegre, RS, Brazil,,","Received:
				December 15, 2015; Accepted:
				March 01, 2016","Tuberous sclerosis complex is an autosomal dominant disorder characterized by skin manifestations and formation of multiple tumors in different organs, mainly in the central nervous system. Tuberous sclerosis is caused by the mutation of one of two tumor suppressor genes, TSC1 or TSC2. Currently, the development of novel techniques and great advances in high-throughput genetic analysis made mutation screening of the TSC1 and TSC2 genes more widely available. Extensive studies of the TSC1 and TSC2 genes in patients with TSC worldwide have revealed a wide spectrum of mutations. Consequently, the discovery of the underlying genetic defects in TSC has furthered our understanding of this complex genetic disorder, and genotype-phenotype correlations are becoming possible, although there are still only a few clearly established correlations. This review focuses on the main symptoms and genetic alterations described in TSC patients from 13 countries in three continents, as well as on genotype-phenotype correlations established to date. The determination of genotype-phenotype correlations may contribute to the establishment of successful personalized treatment for TSC.","Patricia Ashton-Prolla1 
			2 
			3 
			4 
			,Keywords: Tuberous sclerosis complex; TSC mutations; genotype-phenotype correlations; TSC1; TSC2","http://www.scielo.brhttp://www.scielo.br/scieloOrg/php/articleXML.php?pid=S1415-47572017000100069&lang=pt"
